page_type,location_country,referrer_host,ua_os,hour,total_orders_placed,total_checkouts,total_carts,total_sessions,total_pageviews,total_conversion,total_bounce_rate,ua_form_factor,referrer_source,referrer_name
Homepage,Dominica,jones-shelton.com,Mac OS X,2020-10-17 17:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Gabon,Unknown,iOS,2019-09-28 06:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Unknown,Bosnia and Herzegovina,Unknown,Linux,2021-01-07 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Dominica,Unknown,Mac OS X,2021-06-27 09:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Product,Saint Helena,l.instagram.com,Android,2020-11-14 10:00:00,2,3,4,7,14,0.2857142857142857,0.0,Mobile,Social,Instagram
Homepage,Dominica,www.google.com,Android,2019-08-15 13:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Product,Gabon,www.instagram.com,iOS,2020-07-09 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Indonesia,www.google.com,iOS,2020-10-11 17:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Homepage,Lesotho,myers.com,Other,2021-11-04 14:00:00,2,4,4,6,8,0.3333333333333333,0.6666666666666667,Other,Unknown,Unknown
Homepage,Cape Verde,jones-shelton.com,Android,2020-09-11 00:00:00,1,1,1,3,6,0.3333333333333333,0.0,Mobile,Unknown,Unknown
Homepage,Bosnia and Herzegovina,Unknown,Android,2019-07-24 11:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Bermuda,Unknown,Mac OS X,2021-01-07 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Indonesia,jones-shelton.com,Windows,2020-09-22 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Product,Bangladesh,Unknown,Android,2019-11-22 22:00:00,5,9,9,13,21,0.3846153846153846,0.3846153846153846,Mobile,Unknown,Unknown
Homepage,Dominica,Unknown,Android,2020-12-21 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Dominica,yandex.ru,iOS,2021-02-05 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Yandex
Product,Angola,campbell.org,iOS,2021-01-12 19:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Bosnia and Herzegovina,jones-shelton.com,iOS,2020-08-28 09:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Bosnia and Herzegovina,m.instagram.com,Linux,2021-02-03 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Checkout,Dominica,Unknown,iOS,2021-07-13 05:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Gabon,mclean.net,Mac OS X,2021-01-29 07:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,Unknown
Product,Bosnia and Herzegovina,facebook.com,Linux,2021-03-12 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Facebook
Homepage,Cape Verde,facebook.com,Mac OS X,2021-02-15 01:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Facebook
Product,Bosnia and Herzegovina,l.instagram.com,Windows,2020-12-12 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Checkout,Cape Verde,Unknown,Windows,2020-08-05 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Gabon,myers.com,Mac OS X,2020-10-05 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Iran,Unknown,Android,2021-02-19 13:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Bermuda,Unknown,iOS,2021-08-18 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Collection,Dominica,Unknown,Linux,2021-02-16 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Bosnia and Herzegovina,www.google.com,Windows,2020-12-31 01:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Collection,Cape Verde,jones-shelton.com,Android,2019-08-26 23:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Collection,Cape Verde,www.google.com,Android,2019-08-21 02:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Homepage,Bosnia and Herzegovina,Unknown,Windows,2021-04-06 12:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Mayotte,campbell.org,Mac OS X,2019-12-05 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Product,Gabon,bowman.info,Mac OS X,2020-08-22 22:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Bosnia and Herzegovina,Unknown,Android,2020-01-26 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Bosnia and Herzegovina,Unknown,Other,2019-08-06 00:00:00,2,2,3,6,9,0.3333333333333333,0.5,Other,Unknown,Unknown
Homepage,Cape Verde,mclean.net,Linux,2019-10-14 22:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,Unknown
Homepage,Dominica,mclean.net,Linux,2019-08-05 00:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,Unknown
Homepage,Bosnia and Herzegovina,www.instagram.com,iOS,2021-05-27 14:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Lesotho,jones-shelton.com,Android,2019-08-05 19:00:00,3,5,5,6,17,0.5,0.0,Mobile,Unknown,Unknown
Homepage,Cape Verde,Unknown,Android,2021-03-29 13:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Bosnia and Herzegovina,Unknown,iOS,2020-12-20 08:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Bosnia and Herzegovina,Unknown,Windows,2019-08-10 17:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Bosnia and Herzegovina,Unknown,Linux,2021-01-20 10:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Cape Verde,l.instagram.com,Windows,2020-10-14 10:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Homepage,Bosnia and Herzegovina,Unknown,Windows,2020-08-30 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Bosnia and Herzegovina,Unknown,Mac OS X,2019-11-08 23:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Product,Gabon,Unknown,Windows,2020-12-14 03:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Product,Dominica,jones-shelton.com,Linux,2020-05-01 00:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Collection,United States Virgin Islands,www.google.com,iOS,2021-02-09 04:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Homepage,Dominica,Unknown,Linux,2021-09-14 23:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
